Group,MortRate
Mammal,0.39
Mammal,0.56
Mammal,0.65
Mammal,0.51
Mammal,0.54
Mammal,0.48
Mammal,0.55
Mammal,0.38
Mammal,0.71
Mammal,0.41
Mammal,0.23
Mammal,0.81
Mammal,0.77
Mammal,0.51
Mammal,0.60
Mammal,0.50
Mammal,0.08
Mammal,0.78
Mammal,0.49
Mammal,0.69
Mammal,0.69
Mammal,0.31
Mammal,0.46
Mammal,0.53
Mammal,0.36
Mammal,0.69
Mammal,0.32
Mammal,0.27
Mammal,0.36
Mammal,0.62
Mammal,0.34
Mammal,0.63
Mammal,0.28
Mammal,0.78
Mammal,0.10
Mammal,0.14
Mammal,0.31
Mammal,0.70
Mammal,0.49
Mammal,0.19
Mammal,0.51
Mammal,0.23
Mammal,0.50
Mammal,0.57
Mammal,0.44
Mammal,0.65
Mammal,0.67
Mammal,0.42
Mammal,0.84
Mammal,0.08
Mammal,0.49
Mammal,0.09
Mammal,0.13
Mammal,0.60
Mammal,0.71
Mammal,0.48
Mammal,0.51
Mammal,0.40
Mammal,0.49
Mammal,0.52
Mammal,0.22
Reptile,0.25
Reptile,0.71
Reptile,0.57
Reptile,0.25
Reptile,0.63
Reptile,0.75
Reptile,0.33
Reptile,0.30
Reptile,0.18
Reptile,0.18
Reptile,0.25
Reptile,0.31
Reptile,0.69
Reptile,0.14
Reptile,0.06
Reptile,0.06
Reptile,0.53
Reptile,0.24
Reptile,0.18
Reptile,0.06
Reptile,0.06
Reptile,0.11
Reptile,0.95
Reptile,0.04
Reptile,0.12
Reptile,0.50
Reptile,0.04
Reptile,0.64
Reptile,0.10
Reptile,0.25
Reptile,0.12
Reptile,0.53
Reptile,0.08
Reptile,0.05
Reptile,0.20
Reptile,0.70
Reptile,0.73
Reptile,0.18
Reptile,0.07
Reptile,0.02
Reptile,0.16
Reptile,0.64
Reptile,0.06
Reptile,0.21
Reptile,0.26
Reptile,0.10
Reptile,0.25
Reptile,0.06
Reptile,0.46
Reptile,0.27
Reptile,0.05
Reptile,0.13
Reptile,0.38
Reptile,0.09
Reptile,0.14
Reptile,0.08
Reptile,0.12
Reptile,0.31
Reptile,0.04
Reptile,0.33
Reptile,0.29
Reptile,0.29
Reptile,0.15
Amphib,0.15
Amphib,0.29
Amphib,0.33
Amphib,0.39
Amphib,0.13
Amphib,0.39
Amphib,0.33
Amphib,0.57
Amphib,0.04
Amphib,0.12
Amphib,0.30
Amphib,0.15
Amphib,0.21
Amphib,0.10
